PRODUCTNDC,PRODUCTTYPENAME,PROPRIETARYNAME,NONPROPRIETARYNAME,DOSAGEFORMNAME,ROUTENAME,MARKETINGCATEGORYNAME,LABELERNAME,SUBSTANCENAME,ACTIVEINGREDIENTSINFO,DEASCHEDULE,NDCPACKAGECODE,PACKAGEDESCRIPTION,REPORTINGPERIOD
69852-880,HUMAN COMPOUNDED DRUG,Brompheniramine Maleate,Brompheniramine Maleate,"INJECTION, SOLUTION",INTRAMUSCULAR,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Eagle Pharmacy, Inc.",BROMPHENIRAMINE MALEATE,10 mg/10 mg,,69852-880-10,"100 mg in 1 VIAL, MULTI-DOSE (69852-880-10) ",2022-2
26436-5471,HUMAN COMPOUNDED DRUG,B-Com 100,B-Com 100,INJECTION,INTRAMUSCULAR; INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Hybrid Pharma,RIBOFLAVIN 5'-PHOSPHATE SODIUM; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; THIAMINE HYDROCHLORIDE,2 mg/1 mL; 100 mg/1 mL; 2 mg/1 mL; 100 mg/1 mL,,26436-5471-3,"30 mL in 1 VIAL, GLASS (26436-5471-3) ",2023-2
70214-5020,HUMAN COMPOUNDED DRUG,midazolam 100mg per 100mL,midazolam,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),PROVIDENCE INFUSION HOSPITAL SERVICES,MIDAZOLAM,100 mg/100 mL,CIV,70214-5020-1,100 mL in 1 BAG (70214-5020-1) ,2022-2
71170-010,HUMAN COMPOUNDED DRUG,Phenylephrine HCl 1 mg per 10 mL Syringe (100 mcg/mL),Phenylephrine HCl 1 mg per 10 mL Syringe (100 mcg/mL),"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Apollo Care, LLC",PHENYLEPHRINE HYDROCHLORIDE,100 ug/1 mL,,71170-010-10,"10 mL in 1 SYRINGE, PLASTIC (71170-010-10) ",2023-1
73702-106,HUMAN COMPOUNDED DRUG,Ephedrine Slfate,Ephedrine Sulfate,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Wells Pharma of Houston,EPHEDRINE SULFATE,5 mg/1 mL,,73702-106-15,5 mL in 1 SYRINGE (73702-106-15) ,2023-1
69374-988,HUMAN COMPOUNDED DRUG,Amino Acid 50gm/1000ml,Amino Acid 50gm/1000ml,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Nephron Sterile Compounding Center, LLC",LYSINE HYDROCHLORIDE; ARGININE HYDROCHLORIDE,5000 g/1 mL; 5000 g/1 mL,,69374-988-10,2 BAG in 1 CASE (69374-988-10)  > 1000 mL in 1 BAG,2023-1
71285-6043,HUMAN COMPOUNDED DRUG,Oxytocin 20units added to NS,Oxytocin 20units added to NS,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",OXYTOCIN,20 [USP'U]/1000 mL,,71285-6043-1,1000 mL in 1 BAG (71285-6043-1) ,2023-1
63037-155,HUMAN COMPOUNDED DRUG,Rocuronium Bromide,Rocuronium Bromide,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Hikma Injectables USA Inc.,ROCURONIUM BROMIDE,50 mg/5 mL,,63037-155-25,"5 mL in 1 SYRINGE, PLASTIC (63037-155-25) ",2023-1
72196-6038,HUMAN COMPOUNDED DRUG,Oxytocin 20units added to LR,Oxytocin 20units added to LR,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",OXYTOCIN,20 [USP'U]/1000 mL,,72196-6038-1,1000 mL in 1 BAG (72196-6038-1) ,2023-2
71139-0012,HUMAN COMPOUNDED DRUG,Oxytocin,Oxytocin,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"IntegraDose Compounding Services, LLC",OXYTOCIN,30 U/500 mL,,71139-0012-1,500 mL in 1 BAG (71139-0012-1) ,2023-2
72196-0400,HUMAN COMPOUNDED DRUG,Trophamine 2% / Dextrose 10% 250ml in 250ml bag,Trophamine 2% / Dextrose 10% 250ml in 250ml bag,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",GLUTAMIC ACID; LYSINE ACETATE; SERINE; TYROSINE; N-ACETYLTYROSINE; THREONINE; CYSTEINE HYDROCHLORIDE; HISTIDINE; ARGININE; TAURINE; DEXTROSE MONOHYDRATE; LEUCINE; METHIONINE; PROLINE; ASPARTIC ACID; ISOLEUCINE; ALANINE; GLYCINE; VALINE; PHENYLALANINE; TRYPTOPHAN,.25 g/250 mL; .6 g/250 mL; .19 g/250 mL; .022 g/250 mL; .12 g/250 mL; .21 g/250 mL; .012 g/250 mL; .24 g/250 mL; .6 g/250 mL; .0125 g/250 mL; 25 g/250 mL; .7 g/250 mL; .17 g/250 mL; .34 g/250 mL; .16 g/250 mL; .41 g/250 mL; .27 g/250 mL; .18 g/250 mL; .39 g/250 mL; .24 g/250 mL; .1 g/250 mL,,72196-0400-1,250 mL in 1 BAG (72196-0400-1) ,2023-2
26436-5556,HUMAN COMPOUNDED DRUG,Naltrexone 4.5,Naltrexone 4.5mg,CAPSULE,ORAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Hybrid Pharma,NALTREXONE,4.5 mg,,26436-5556-1,1 CAPSULE in 1 CAPSULE (26436-5556-1) ,2024-1
71266-6360,HUMAN COMPOUNDED DRUG,Lidocaine and Phenylephrine,Lidocaine and Phenylephrine,INJECTION,INTRAOCULAR,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fagron Compounding Services LLC dba Fagron Sterile Services LLC dba JCB Laboratories,PHENYLEPHRINE HYDROCHLORIDE; LIDOCAINE HYDROCHLORIDE,15 mg/1 mL; 10 mg/1 mL,,71266-6360-1,1 mL in 1 SYRINGE (71266-6360-1) ,2022-2
73013-1014,HUMAN COMPOUNDED DRUG,Fentanyl Citrate 500mcg- Bupivacaine HCl 312mg added to 250mL NS bag,"fentanyl citrate, bupivacaine hydrochloride","INJECTION, SOLUTION",EPIDURAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),OurPharma LLC,FENTANYL CITRATE; BUPIVACAINE HYDROCHLORIDE,2 ug/1 mL; 1.25 mg/1 mL,CII,73013-1014-1,250 mL in 1 BAG (73013-1014-1) ,2023-1
73271-6142,HUMAN COMPOUNDED DRUG,LIDOCAIN/PRILOCAIN/TETRACAIN/PHENYLEPHRINE 10/10/4/2% 30GM MINT FLAVOR,LIDOCAIN/PRILOCAIN/TETRACAIN/PHENYLEPHRINE 10/10/4/2% 30GM MINT FLAVOR,GEL,DENTAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Right Value Drug Stores llc dba Carie Boyd's Prescription Shop,PRILOCAINE; LIDOCAINE; TETRACAINE; PHENYLEPHRINE,3 g; 3 g; 1.2 g; .6 g,,73271-6142-1,1 GEL in 1 JAR (73271-6142-1) ,2022-2
72196-0014,HUMAN COMPOUNDED DRUG,"Transplant Solution (Plasmalyte A, pH 7.4)","Transplant Solution (Plasmalyte A, pH 7.4)",SOLUTION,INTRACORONARY,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",ASPARTIC ACID; GLUTAMIC ACID; DEXTROSE MONOHYDRATE; SODIUM CHLORIDE; SODIUM GLUCONATE; SODIUM ACETATE; POTASSIUM CHLORIDE; MAGNESIUM CHLORIDE,.02193 g/1 mL; .03059 g/1 mL; .09036 g/1 mL; 2.39091 mg/1 mL; 2.28182 mg/1 mL; 1.67273 mg/1 mL; .16818 mg/1 mL; .13636 mg/1 mL,,72196-0014-2,165 mL in 1 BAG (72196-0014-2) ,2023-2
71285-0106,HUMAN COMPOUNDED DRUG,Induction 4 to1 High K (30mEq) 415ml Bag,Induction 4 to 1 High K (30mEq) 415ml Bag,SOLUTION,INTRACORONARY,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.","SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE; ANHYDROUS DEXTROSE; CITRIC ACID MONOHYDRATE; TRISODIUM CITRATE DIHYDRATE; SODIUM CHLORIDE; TROMETHAMINE; POTASSIUM CHLORIDE; DEXTROSE MONOHYDRATE",.555 g/415 mL; 11.6 g/415 mL; .8175 g/415 mL; 6.575 g/415 mL; 9.6 meq/415 mL; 3.6 g/415 mL; 30 meq/415 mL; 24.76 g/415 mL,,71285-0106-1,415 mL in 1 BAG (71285-0106-1) ,2023-1
71449-124,HUMAN COMPOUNDED DRUG,Ropivacaine Hydrochloride,Ropivacaine Hydrochloride,"INJECTION, SOLUTION",INFILTRATION,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Denver Solutions, LLC dba Leiters Health",ROPIVACAINE HYDROCHLORIDE,2 mg/1 mL,,71449-124-91,1 BAG in 1 BAG (71449-124-91)  > 1000 mL in 1 BAG,2023-2
69852-496,HUMAN COMPOUNDED DRUG,Triamcinolone Acetonide 80 mg/mL,Triamcinolone Acetonide 80 mg/mL,"INJECTION, SUSPENSION",INTRAMUSCULAR,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Eagle Pharma Outsourcing, LLC",TRIAMCINOLONE ACETONIDE,80 mg/80 mg,,69852-496-10,"800 mg in 1 VIAL, MULTI-DOSE (69852-496-10) ",2023-2
73198-121,HUMAN COMPOUNDED DRUG,Sodium Tetradecyl Sulfate 0.3%,Sodium Tetradecyl Sulfate 0.3%,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Olympia Pharmacy,SODIUM TETRADECYL SULFATE,.01 mg/1 mL,,73198-121-30,"30 mL in 1 VIAL, MULTI-DOSE (73198-121-30) ",2022-2
71285-6037,HUMAN COMPOUNDED DRUG,Oxytocin 15units added to LR,Oxytocin 15units added to LR,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",OXYTOCIN,15 [USP'U]/250 mL,,71285-6037-1,250 mL in 1 BAG (71285-6037-1) ,2022-2
73177-156,HUMAN COMPOUNDED DRUG,Ketamine Hydrochloride,Ketamine Hydrochloride,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),STAQ Pharma Inc,KETAMINE HYDROCHLORIDE,10 mg/1 mL,CIII,73177-156-27,100 mL in 1 BAG (73177-156-27) ,2023-1
73198-014,HUMAN COMPOUNDED DRUG,Trimix Formula T101,T-101(Pap-17.65mg/Phent-0.59mg/PGE-5.9mcg/ML),"INJECTION, SOLUTION",INTRACAVERNOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Olympia Pharmacy,PHENTOLAMINE MESYLATE; ALPROSTADIL; PAPAVERINE HYDROCHLORIDE,.59 mg/1 mL; .0059 mg/1 mL; 17.65 mg/1 mL,,73198-014-03,"2.5 mL in 1 VIAL, MULTI-DOSE (73198-014-03) ",2022-2
73198-027,HUMAN COMPOUNDED DRUG,Bimix Formula BM3,Papaverine-30mg/Phentolamine-3mg/ML,"INJECTION, SOLUTION",INTRACAVERNOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Olympia Pharmacy,PHENTOLAMINE MESYLATE; PAPAVERINE HYDROCHLORIDE,3 mg/1 mL; 30 mg/1 mL,,73198-027-03,"2.5 mL in 1 VIAL, MULTI-DOSE (73198-027-03) ",2023-1
71285-7090,HUMAN COMPOUNDED DRUG,Diphenhydramine 50mg added to NS,Diphenhydramine 50mg added to NS,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",DIPHENHYDRAMINE HYDROCHLORIDE,50 mg/50 mL,,71285-7090-1,50 mL in 1 BAG (71285-7090-1) ,2022-2
70004-841,HUMAN COMPOUNDED DRUG,Potassium Phosphate 15 mMol in 0.9% Sodium Chloride,Potassium Phosphate 15 mMol in 0.9% Sodium Chloride,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"SCA Pharmaceuticals, LLC","POTASSIUM PHOSPHATE, DIBASIC; POTASSIUM PHOSPHATE, MONOBASIC",15 mmol; 15 mmol,,70004-841-40,"1 INJECTION, SOLUTION in 1 BAG (70004-841-40) ",2022-2
72682-3315,HUMAN COMPOUNDED DRUG,Edetate Disodium (PF) 150mg/ml 10mL,Edetate Disodium (PF) 150mg/ml 10mL,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),AnazaoHealth Corporation,EDETATE DISODIUM,150 mg/1 mL,,72682-3315-1,10 mL in 1 VIAL (72682-3315-1) ,2022-2
70092-100,HUMAN COMPOUNDED DRUG,Fentanyl PF 50 mcg/ml  55 ml- 60 ml syr,Fentanyl PF 50 mcg/ml  55 ml- 60 ml syr,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"QuVa Pharma, Inc.",FENTANYL CITRATE,2750 ug/55 mL,CII,70092-100-50,55 mL in 1 SYRINGE (70092-100-50) ,2022-2
71266-2001,HUMAN COMPOUNDED DRUG,Succinylcholine Chloride,Succinylcholine Chloride,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fagron Compounding Services LLC dba Fagron Sterile Services LLC dba JCB Laboratories,SUCCINYLCHOLINE CHLORIDE,20 mg/1 mL,,71266-2001-9,"5 mL in 1 SYRINGE, PLASTIC (71266-2001-9) ",2022-2
71266-9090,HUMAN COMPOUNDED DRUG,Lidocaine HCl 2%,Lidocaine HCl 2%,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fagron Compounding Services LLC dba Fagron Sterile Services LLC dba JCB Laboratories,LIDOCAINE HYDROCHLORIDE,20 mg/1 mL,,71266-9090-9,"5 mL in 1 SYRINGE, PLASTIC (71266-9090-9) ",2023-1
71266-8310,HUMAN COMPOUNDED DRUG,"Tropicamide 1%, Phenylephrine 2.5%","Tropicamide 1%, Phenylephrine 2.5%",SOLUTION,OPHTHALMIC,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fagron Compounding Services LLC dba Fagron Sterile Services LLC dba JCB Laboratories,PHENYLEPHRINE HYDROCHLORIDE; TROPICAMIDE,25 mg/1 mL; 10 mg/1 mL,,71266-8310-1,"1 mL in 1 BOTTLE, DROPPER (71266-8310-1) ",2022-2
79926-041,HUMAN COMPOUNDED DRUG,Prednisolone acetate,Prednisolone acetate,SUSPENSION/ DROPS,OPHTHALMIC,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Wedgewood Connect, LLC",PREDNISOLONE ACETATE,12.5 mg/1 mL,,79926-041-01,"15 mL in 1 BOTTLE, DROPPER (79926-041-01) ",2023-1
73217-004,HUMAN COMPOUNDED DRUG,Tacrolimus 0.5% Ophth,Tacrolimus,SUSPENSION,OPHTHALMIC,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Stokes Healthcare,TACROLIMUS,5 mg/1 mL,,73217-004-10,"10 mL in 1 BOTTLE, DROPPER (73217-004-10) ",2023-2
73217-002,HUMAN COMPOUNDED DRUG,Tacrolimus 0.03% Ophth,Tacrolimus,SUSPENSION,OPHTHALMIC,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Stokes Healthcare,TACROLIMUS,.3 mg/1 mL,,73217-002-10,"10 mL in 1 BOTTLE, DROPPER (73217-002-10) ",2023-2
71139-0190,HUMAN COMPOUNDED DRUG,Vasopressin,Vasopressin,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"IntegraDose Compounding Services, LLC","VASOPRESSIN, UNSPECIFIED",2 U/2 mL,,71139-0190-1,2 mL in 1 SYRINGE (71139-0190-1) ,2023-1
71506-024,HUMAN COMPOUNDED DRUG,Phenylephrine Hydrochloride,Phenylephrine Hydrochloride,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fresenius Kabi Compounding LLC DBA Fagron Sterile Services,PHENYLEPHRINE HYDROCHLORIDE,20 mg/250 mL,,71506-024-58,250 mL in 1 BAG (71506-024-58) ,2023-1
71285-0407,HUMAN COMPOUNDED DRUG,Trophamine 3.5% / Dextrose 10% With Calcium Gluconate 3.75 mEq 250ml in 250ml bag,Trophamine 3.5% / Dextrose 10% With Calcium Gluconate 3.75 mEq 250ml in 250ml bag,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",N-ACETYLTYROSINE; THREONINE; CYSTEINE HYDROCHLORIDE; HISTIDINE; ARGININE; TAURINE; DEXTROSE MONOHYDRATE; LEUCINE; METHIONINE; GLUTAMIC ACID; PROLINE; ASPARTIC ACID; ISOLEUCINE; ALANINE; GLYCINE; PHENYLALANINE; TRYPTOPHAN; VALINE; CALCIUM GLUCONATE MONOHYDRATE; LYSINE ACETATE; SERINE; TYROSINE,.21 g/250 mL; .3675 g/250 mL; .021 g/250 mL; .42 g/250 mL; 1.05 g/250 mL; .021875 g/250 mL; 25 g/250 mL; 1.225 g/250 mL; .2975 g/250 mL; .4375 g/250 mL; .595 g/250 mL; .28 g/250 mL; .7175 g/250 mL; .4725 g/250 mL; .315 g/250 mL; .42 g/250 mL; .175 g/250 mL; .6825 g/250 mL; 3.75 meq/250 mL; 1.05 g/250 mL; .3325 g/250 mL; .0385 g/250 mL,,71285-0407-1,250 mL in 1 BAG (71285-0407-1) ,2023-1
26436-6017,HUMAN COMPOUNDED DRUG,DHEA,Dehydroepiandosterone,CAPSULE,ORAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Hybrid Pharma,PRASTERONE,2.5 mg,,26436-6017-1,1 CAPSULE in 1 CAPSULE (26436-6017-1) ,2023-2
26436-5343,HUMAN COMPOUNDED DRUG,Estriol,Estriol,CAPSULE,ORAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Hybrid Pharma,ESTRIOL,2 mg,,26436-5343-1,"100 CAPSULE in 1 VIAL, PLASTIC (26436-5343-1) ",2023-2
72934-2304,HUMAN COMPOUNDED DRUG,Varoxia Cream,011021 NIACINAMIDE 4% / TRETINOIN 0.05%,CREAM,TOPICAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),SKNV,NIACINAMIDE; TRETINOIN,4 g/100 mL; .05 g/100 mL,,72934-2304-2,"30 mL in 1 BOTTLE, PUMP (72934-2304-2) ",2023-1
72907-2467,HUMAN COMPOUNDED DRUG,Morphine Sulfate,Morphine Sulfate,"INJECTION, SOLUTION",EPIDURAL; INTRAMUSCULAR; INTRATHECAL; INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Brookfield Medical Surgical Supply,MORPHINE SULFATE,25 mg/25 mL,CII,72907-2467-1,"10 mL in 1 VIAL, SINGLE-USE (72907-2467-1) ",2024-1
70168-0620,HUMAN COMPOUNDED DRUG,Testosterone Cypionate/Anastrozole 200/1mg/mL,Testosterone Cypionate/Anastrozole 200/1mg/mL,SOLUTION,INTRAMUSCULAR,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"BSO, LLC",ANASTROZOLE; TESTOSTERONE CYPIONATE,1 mg/1 mL; 200 mg/1 mL,CIII,70168-0620-1,"10 mL in 1 VIAL, MULTI-DOSE (70168-0620-1) ",2022-2
72627-2419,HUMAN COMPOUNDED DRUG,Methionine/Inositol/Choline Chloride/Cyanocobalamin,Methionine/Inositol/Choline Chloride/Cyanocobalamin,INJECTION,INTRAMUSCULAR,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Empower Pharmacy,INOSITOL; CHOLINE CHLORIDE; METHIONINE; CYANOCOBALAMIN,50 mg/1 mL; 50 mg/1 mL; 25 mg/1 mL; 1 mg/1 mL,,72627-2419-1,"30 mL in 1 VIAL, MULTI-DOSE (72627-2419-1) ",2022-2
26436-5024,HUMAN COMPOUNDED DRUG,Taurine 50mg/mL,Taurine 50mg/mL,INJECTION,INTRAMUSCULAR,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Hybrid Pharma,TAURINE,50 mg/1 mL,,26436-5024-3,"30 mL in 1 VIAL, MULTI-DOSE (26436-5024-3) ",2024-1
71449-102,HUMAN COMPOUNDED DRUG,Cantharidin,Cantharidin,SOLUTION,TOPICAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Denver Solutions, LLC dba Leiters Health",CANTHARIDIN,7 mg/1 mL,,71449-102-36,"1 BOTTLE, GLASS in 1 BAG (71449-102-36)  > 10 mL in 1 BOTTLE, GLASS",2023-1
72934-1313,HUMAN COMPOUNDED DRUG,Deoxiademtar Gel,011216 CLINDAMYCIN 1% / NIACINAMIDE 4% / SPIRONOLACTONE 2% / TRETINOIN 0.025% Gel,GEL,TOPICAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),SKNV,CLINDAMYCIN PHOSPHATE; NIACINAMIDE; SPIRONOLACTONE; TRETINOIN,1 g/100 mL; 4 g/100 mL; 2 g/100 mL; .025 g/100 mL,,72934-1313-2,"30 mL in 1 BOTTLE, PUMP (72934-1313-2) ",2023-2
73013-1053,HUMAN COMPOUNDED DRUG,Fentanyl Citrate- Ropivacaine HCl,"fentanyl citrate, ropivacaine hydrochloride","INJECTION, SOLUTION",EPIDURAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),OurPharma LLC,FENTANYL CITRATE; ROPIVACAINE HYDROCHLORIDE,2 ug/1 mL; 2 mg/1 mL,CII,73013-1053-1,250 mL in 1 BAG (73013-1053-1) ,2023-2
72627-2424,HUMAN COMPOUNDED DRUG,Pyridoxine HCl,Pyridoxine HCl,INJECTION,INTRAMUSCULAR; INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Empower Pharmacy,PYRIDOXINE HYDROCHLORIDE,100 mg/1 mL,,72627-2424-1,"30 mL in 1 VIAL, MULTI-DOSE (72627-2424-1) ",2023-1
72627-2215,HUMAN COMPOUNDED DRUG,Testosterone Pellet (Cholesterol),Testosterone Pellet (Cholesterol),"PELLET, IMPLANTABLE",SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Empower Pharmacy,1-TESTOSTERONE,25 mg,CIII,72627-2215-9,"10 AMPULE in 1 BOX (72627-2215-9)  > 1 PELLET, IMPLANTABLE in 1 AMPULE (72627-2215-1) ",2022-2
73271-0040,HUMAN COMPOUNDED DRUG,TESTOSTERONE 40 PEL,TESTOSTERONE 40 PEL,PELLET,SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Right Value Drug Stores llc dba Carie Boyd Pharmaceuticals,TESTOSTERONE,40 mg,CIII,73271-0040-1,1 PELLET in 1 VIAL (73271-0040-1) ,2024-1
70168-2020,HUMAN COMPOUNDED DRUG,E2 10mg,Estradiol,PELLET,SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"BSO, LLC",ESTRADIOL,10 mg,,70168-2020-1,"1 PELLET in 1 VIAL, SINGLE-USE (70168-2020-1) ",2022-2
71139-6030,HUMAN COMPOUNDED DRUG,Fentanyl Citrate CADD,Fentanyl Citrate CADD,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"IntegraDose Compounding Services, LLC",FENTANYL CITRATE,2500 ug/50 mL,CII,71139-6030-1,"50 mL in 1 VIAL, PATENT DELIVERY SYSTEM (71139-6030-1) ",2023-1
